chiSquare info:
=======selected========
搜狗 144.827586207
sogou 144.827586207
网页 131.866144106
找到 131.54887218
www 126.348820731
相关 121.728691477
com 106.847117794
工作 101.316450608
搜索 95.2295229523
招聘 58.1392288459
编辑 58.064516129
消息 53.8569424965
羊羊 50.0
职场 50.0
用户 48.2218203737
职业 46.6635987115
所以 44.2426635084
如果 42.0138888889
自己 40.5364828346
人才 38.0952380952
能力 37.0050006758
还是 35.8768722727
一定 33.1125827815
觉得 32.0
岗位 31.2138728324
什么 29.3252156266
适合 28.5714285714
eNet 28.5714285714
硅谷动力 28.5714285714
往往 28.073089701
阅读 27.2727272727
论坛 27.2727272727
不能 26.7278542623
职位 26.5098039216
培训 26.5098039216
感觉 26.5098039216
老板 25.4641909814
这样 25.3968253968
经验 25.2467532468
全球 24.914827433
才能 24.7191011236
个人 24.5
就是 24.4417012681
问题 24.380952381
延伸 24.1828571429
经常 24.1828571429
学习 24.1828571429
比较 24.1146953405
微软 23.9546420978
经理 23.9202657807
经历 23.8595151747
时候 23.3903490474
没有 23.1292517007
管理 22.8438228438
使用 22.6819089095
别人 22.6503960608
生活 22.5882352941
不是 22.3214285714
招聘会 22.2222222222
应聘 22.2222222222
有些 21.9623131904
面试 21.6654384672
应该 21.5890129637
其实 21.4285714286
因为 21.4285714286
面对 21.3969938108
单位 21.3349465618
了解 21.125
大学 20.9944751381
编后语 20.9944751381
以后 20.9944751381
编译 20.9944751381
原因 20.9032258065
来说 20.4110559887
知道 20.3742203742
发展 20.2187762952
需要 20.2187762952
一般 20.1946936438
只要 20.1946936438
从事 20.16
特别 20.16
还要 20.16
同事 20.16
环境 20.0996677741
事情 20.0996677741
只有 19.9076286033
做好 19.7802197802
有着 19.7802197802
美国 19.7053655899
甚至 19.696969697
跳槽 19.207235967
心理 19.207235967
企业 19.1680911681
宣布 18.9803921569
最后 18.8824662813
毕业 18.8824662813
求职 18.5792349727
充分 18.5792349727
在职 18.5792349727
第一季度 18.5792349727
如何 18.3203463203
就业 18.0
白领 18.0
不同 18.0
告诉 17.7858439201
参加 17.7858439201
社会 17.7858439201
准备 17.7858439201
最好 17.7352001965
喜欢 17.5426960703
这个 17.4688057041
学历 17.3913043478
非常 16.8941748885
机会 16.8498168498
表示 16.6383701188
他们 16.6383701188
专家 16.6112956811
互联网 16.6112956811
自我 16.5474974464
大家 16.5028571429
报道 16.5028571429
现在 16.4157357941
简历 16.2162162162
事业 16.2162162162
媒体报道 16.2162162162
选择 16.0441535105
表现 15.6862745098
上班 15.6288156288
刚刚 15.6288156288
Google 15.6288156288
消费者 15.6288156288
办公室 15.4570755727
各种 15.4570755727
不少 15.4570755727
